name,type,value,date
Dragon Ball Z: Budokai Tenkaichi 3,Atari,3,2007
wwe Smackdown vs. Raw 2006,N/A,3,N/A
Middle-Earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,2.99,2014
Star Fox,Nintendo,2.99,1993
The Sims: Livin Large,Electronic Arts,2.99,2000
World Soccer Winning Eleven 6 International,Konami Digital Entertainment,2.99,2002
Devil May Cry,Capcom,2.99,2001
Animal Crossing: Happy Home Designer,Nintendo,2.98,2015
Battlefield: Bad Company 2,Electronic Arts,2.97,2010
The Sims 4,Electronic Arts,2.97,2014
Star Wars: The Old Republic,Electronic Arts,2.97,2011
Sonic Heroes,Sega,2.96,2003
Kirby Super Star Ultra,Nintendo,2.96,2008
Hitman 2: Silent Assassin,Eidos Interactive,2.96,2002
Street Fighter IV,Capcom,2.95,2009
Wave Race 64,Nintendo,2.94,1996
SOCOM II: U.S. Navy SEALs,Sony Computer Entertainment,2.94,2003
WWE SmackDown! vs. RAW 2006,THQ,2.94,2005
inFAMOUS,Sony Computer Entertainment,2.94,2009
Pac-Man Collection,Atari,2.94,2001
Mass Effect,Microsoft Game Studios,2.93,2007
WarioWare: Smooth Moves,Nintendo,2.92,2006
Cooking Mama: Cook Off,505 Games,2.91,2007
Super Mario World 2: Yoshi's Island,Nintendo,2.91,2002
FIFA 14,Electronic Arts,2.9,2013
Titanfall,Electronic Arts,2.9,2014
Sonic Mega Collection Plus,Sega,2.9,2004
Sega Superstars Tennis,Sega,2.9,2008
World Soccer Winning Eleven 7 International,Konami Digital Entertainment,2.9,2003
Need for Speed: Most Wanted,Electronic Arts,2.89,2012
Hot Shots Golf 3,Sony Computer Entertainment,2.89,2001
Call of Duty: Finest Hour,Activision,2.89,2004
Zumba Fitness 2,Majesco Entertainment,2.88,2011
Syphon Filter,Sony Computer Entertainment,2.88,1999
Imagine: Babyz,Ubisoft,2.88,2007
Colin McRae Rally,Codemasters,2.87,1998
Call of Duty: Ghosts,Activision,2.86,2013
Madden NFL 13,Electronic Arts,2.86,2012
The Elder Scrolls III: Morrowind,Ubisoft,2.86,2002
Mortal Kombat,Warner Bros. Interactive Entertainment,2.85,2011
F-Zero,Nintendo,2.85,1990
Yoshi's Story,Nintendo,2.85,1997
Command & Conquer: Red Alert,Virgin Interactive,2.85,1996
Skylanders: Spyro's Adventure,Activision,2.85,2011
FIFA 16,Electronic Arts,2.85,2015
Assassin's Creed: Brotherhood,Ubisoft,2.84,2010
BioShock,Take-Two Interactive,2.83,2007
Madden NFL 10,Electronic Arts,2.83,2009
Medal of Honor,Electronic Arts,2.83,2010
WWE SmackDown! vs. Raw,THQ,2.83,2002
Metroid Prime,Nintendo,2.82,2002
Finding Nemo,THQ,2.82,2003
Myst,Red Orb,2.81,1994
Need for Speed: Hot Pursuit,Electronic Arts,2.81,2010
